sentence,intent
nhug bóng thi minh ko thích màu hồng lắm,disagree
Alooo a,greet
"Cam on shop, de minh tham khao xem",thank
Alo ???,greet
Aloooooo Bloooooo,greet
Người hay bot?,ask_is_bot
Ko phai. Hdsd loai nay tiet trung sấy khô UV mà shop,disagree
Đúng rồi b ạ. Mình cảm ơn shop nha.,thank
Alo eoi,greet
"Mình muốn mua quây thôi ạh, ko phải mua combo ahh",disagree
hàng của nước nào vậy,query_knowledge_base
bộ cầu trượt vs xích đu bao nhiêu ạ,query_knowledge_base
vai luoi phai khong ban,query_knowledge_base
Dạ. Cảm ơn shop nha. Có gì e ib lại,thank
E k thích màu xanh lá lắm 😂,disagree
à vâng e cảm ơn,thank
vâng e oder,agree
K phải arica gì đó,disagree
shop oi!!!,greet
Dung roi ne,agree
Đúng rồi bạn?,agree
Và hai tấm chống thấm xuất Anh xanh + hồng,query_knowledge_base
à nôi có những màu gì b nhỉ  có 3 màu như trong bài post thôi đúng ko,query_knowledge_base
Em cảm ơn chị nhiều nhé,thank
Cảm ơn ấy,thank
Chưa e ơi,greet
Vâng oki ạh,agree
Chứ ko phải cái nayf ah,disagree
Ko phải mẫu cũ nha,disagree
Hì shop,greet
Chứ k phải ăn dặm,disagree
Vâng đúng r c ơi,agree
" ""Từ Techcombank. Hix, chắc thứ 2 mới nhận dc hả? Ko thấy nó báo đợi ngày làm việc tiếp theo""",query_knowledge_base
Vâng cái đấy e biết ạ,agree
Alo bạn oei,greet
Hì bi,greet
Ui ko thích 2 bộ đó,disagree
Alooo???,greet
Alo chào b,greet
Đung roi ban,agree
Ko phải ghế tập ngồi,disagree
"Oh, cam on ban",thank
Vâng để mình bảo mẹ mình xuống lấy,agree
vâng cảm ơn sh,thank
cho mình hỏi kt và giá set này,query_knowledge_base
"Máy dùng tốt c ak! Hút nhanh mạnh c ak!
Thanks c nhé",thank
Ấyv ơi,greet
shop oi auto reply hả?,ask_is_bot
Cảm ơn nhed,thank
Alo blo,greet
Hjhj cam on shop nhiu,thank
hàng nước nào shop ha?,query_knowledge_base
Alo?????????,greet
Nhưng mà không phải màu hồng,disagree
mk dang chat với ng hay chatbot thế?,ask_is_bot
"Ok, cám ơn sh nhe",thank
Anh nhận hàng rồi nha. Cảm ơn shop,thank
shop ơi ng hay bot thế ạ?,ask_is_bot
Với bé sơ sinh 2 tháng nằm được đúng k b,query_knowledge_base
Alo s a,greet
Nhưng tròn bé k thích,disagree
Cho mình hình ảnh của bình đc ko ạ?,query_knowledge_base
Ok thank shop mình xem có gì mình pm shop nhe!,thank
Vâng ah để mình xem ah,agree
ALO Ạ,greet
hì hì,greet
nước nào ạ,query_knowledge_base
Ko phai ghe ngoi xe tap di,disagree
shop oi bot a,ask_is_bot
1500 hay 1590 ạ,query_knowledge_base
hàg nước nào v ạ,query_knowledge_base
bạn ơii,greet
Dc rồi cảm ơn shop đã tư vấn nhiều lắm m sẽ suy nghĩ chút chút nha,thank
cái này bn vậy shop,query_knowledge_base
Cái Jumberoo shop còn hàng ko?,query_knowledge_base
Oh. Dạ vâng em noted nhé,agree
Tra loi tu dong a?,ask_is_bot
shop oi chatbot tu dong a?,ask_is_bot
Không phải. Cái loại bánh xe trong veo ấy ạ,disagree
vâng thui để e coi thêm,agree
Mình ko muon co mau hông,disagree
ghế xuất xứ đâu đây b,query_knowledge_base
mẫu này của nước nào ấy b nhở,query_knowledge_base
Ko phải nk hà đông đâu,disagree
Dạ vâng vậy e đợi k sao ạ,agree
cho e xin gia quay hola kem ngựa xích đu k máng trượt đi ạ,query_knowledge_base
ah vâng thế thui,agree
Chatbot à?,ask_is_bot
ừa oke có gì nhớ báo t nhé,agree
"Hic, m lại ko thích cái viền lắm",disagree
Ko phải em nói,disagree
Ko phải bạn,disagree
Người hay chatbot thế ạ?,ask_is_bot
dạ vâng. vậy thui ạ^^,agree
Rửa bình chứ ko phải nước giặt nhé,disagree
cái này của nước nào ạ,query_knowledge_base
Vâng b.,agree
xe này của nước nào ah,query_knowledge_base
đúng rồi,agree
Ko phải bình,disagree
alo emm,greet
Vâng ci,agree
Mình cảm ơn ^^,thank
shop dùng bot a,ask_is_bot
Mình 2 thảm gấp nhé,query_knowledge_base
Dạ e cám ơn ah,thank
Khi cần bảo hành thì bảo hành ở đâu vay,query_knowledge_base
M ko thích màu đó lắm,disagree
chất liệu và xuất xứ thì sao ạ,query_knowledge_base
shop ơi shop add bộ cốc trữ sữa avent 10ly lên shopee chưa nè,query_knowledge_base
CHị oi?,greet
ko phải hút mũi,disagree
Alo số này,greet
có bảo hành ko vậy0,query_knowledge_base
Alo ch,greet
vậy là ngoài cái đi chung với nôi là shop tặng thêm cái nữa pk shop,query_knowledge_base
Ah vâng a,agree
shop ơi chatbot tự động à?,ask_is_bot
Dạ vâng xem giúp mình nhé,agree
Đúng rôid bạn,agree
ừ mình biết mà,agree
chatbot hay nguoi?,ask_is_bot
đúng rồi. Cứ quá nhiều lần thì cả bạn cả tôi đều cảm thấy phiền phức,agree
của nước nào vậy shop?,query_knowledge_base
Alo shop oi!!!,greet
"Vâng, vì đợi xe về đặt luôn 1 lần",agree
ừa cậu,agree
Ko phải mẫu lưới này,disagree
"""Bạn ơi, cho mình mua cái túi ủ sữa babymoov nhé""",query_knowledge_base
có đầy đủ bảo hành bạn nhỉ,query_knowledge_base
Tớ cảm ơn ấy nha,thank
Có màu này thôi hả bạn?,query_knowledge_base
K phải ghế ăn dặm,disagree
nhưng m ko muốn dùng ga chống thấm,disagree
"Vâng, thế để e gọi hỏi nhà xe ạ",agree
Bộ này m lại ko thích bạn ạ,disagree
Vâng ạ . Shop giúp mình với,agree
Dạ vâng. E cảm ơn cj.,thank
bộ đơn bnhiu   bộ có xích đu thì bao nhiêu vậy shop,query_knowledge_base
cám ơn b nhièu :),thank
Mình cám ơn shop nhe.,thank
HI SHOP,greet
Chi oi oi,greet
Hì ban,greet
ko phải con kitty nha,disagree
Chất liệu ntn bạn,query_knowledge_base
b oi c,greet
Ah uh oki nha b,agree
Vay thi ko dc roi,disagree
"Okie, cảm ơn shop! 😀",thank
"Vâng, có gì e ủng hộ c dài",agree
gế ăn dặm tenkum có màu này k ạ,query_knowledge_base
Alo shop ơi?,greet
Dạ.em cám ơn shop ạ,thank
Vâng ạh.,agree
Ko phải bụi mà :),disagree
Ma ay oi,greet
hàng của nước nào,query_knowledge_base
alo cậu ơi,greet
ấy ơi bộ này sx tại nhật hay trung quốc ấy nhỉ,query_knowledge_base
K phải ạ,disagree
Hi. Vâng thế thid tốt quá ạ,agree
của hãng nào,query_knowledge_base
với 1 xe đẩy màu xanh như này nữa,query_knowledge_base
cái gh  ăn màu xanh kich thước th  nào chị,query_knowledge_base
cái này của hãng nào thế chị,query_knowledge_base
gh  này làm bằng chất liệu gì,query_knowledge_base
Alo lao,greet
Kích thuóc,query_knowledge_base
uki shop cám ơn shop nhìu nhé,thank
K phải là chạm kịch sàn,disagree
À vâng. E báo ở trên,agree
Ola shop oi,greet
Hì hì :),greet
hi bn,greet
Vâng az,agree
Cảm ơn nhiều ăn,thank
Alô shop,greet
Ship m cai xe nay nhe,query_knowledge_base
Za e thank nak,thank
Cho tớ xin giá máy nayd ạ,query_knowledge_base
Chi ko thich màu đen,disagree
Ad shop ơi,greet
Bn day shop,query_knowledge_base
Hic t ko thích màu này,disagree
bên mình còn loại gh  rung nào k ạ,query_knowledge_base
Hi em ơi,greet
K phải cắm điện,disagree
Vâng ah fđể mình nghiên cứu ah,agree
Alo. Bạn ơi,greet
Ấy ơi máy xay hấp Phillips,query_knowledge_base
"Hi shop,",greet
Nàng ui,greet
Vâng oki c,agree
có bảo hành ko hả b,query_knowledge_base
Đang chat với bot hay ng thế?,ask_is_bot
alo bạn ơi?,greet
à cho mình hỏi giá thảm chơi xpe loại 1m5,query_knowledge_base
Da vâng em cám ơn shop nh,thank
Bên bạn có bán mũ xịn k,query_knowledge_base
Chứ ko phải Âu Cơ ạ,disagree
K phai báo,disagree
Alooo?,greet
xe hãng nào bạn,query_knowledge_base
Vâng ak. E vừa làm thử. Ok lắm ak. Hihi,agree
"Vâng, thế cũng đc",agree
Tự động trả lời à shop ơi?,ask_is_bot
ko phải là lừa,disagree
K có j đâu.thanks bạn,thank
Giương nhà t 1m8*2m,query_knowledge_base
Co phai ng ko?,ask_is_bot
Vâng chị ơi,agree
ơ b ơi,greet
Cảm ơn shop :D,thank
E k thích mặt bàn đen đâuuu,disagree
Mình lấy màu này nha shop,query_knowledge_base
Shop còn đai xe máy k,query_knowledge_base
Cam on shop nhieu ạ,thank
"Đúng rồi b nhé, tổng là 3 bộ: 2 cái mẫu 2 và 1 cái mẫu 1",agree
Nôi này bé xài đc tới khi nào vậy shop,query_knowledge_base
Alooo shop ơi,greet
Ah Uh,agree
"Alo,",greet
Sẳn cho mình hỏi giá mấy cái món này luôn,query_knowledge_base
chất liệu sản xuất nôi là gi hả,query_knowledge_base
Hi shpp,greet
ghe rung co bao hanh ko b,query_knowledge_base
Chi ui?,greet
Hj! Thanks shop,thank
Thank shop. Mình tham khảo thôi.,thank
gh  này nặng khoảng 3kg không,query_knowledge_base
"Ok thanks, để mình đặt trên shopee",thank
chính hãng là của hãng nào vậy b,query_knowledge_base
hàng này là xuất xứ trung quốc hả b? :),query_knowledge_base
Uh. Đúng rồi,agree
ok cam on e nhe,thank
Thảm mây đấy tớ ko thích lắm,disagree
"Ok, cảm ơn b!",thank
Màu này nhanh cũ c ko thích,disagree
A vâng,agree
M lại k thích dòng này,disagree
"""Cả bệ thang cả bệ thường, b có mẫu nào cho m xin ảnh và giá nhé""",query_knowledge_base
Vâng thanh 12cm thôi,agree
Hi shoo,greet
dung roi b,agree
"Dạ cám ơn sh, để em xem roi báo lại sau nhé",thank
Ố thế ko đc r,disagree
Ko phải hnay ạ,disagree
Ok tks b để mình sn lại nha. Cám ơn b,thank
Aloooo,greet
Alo shop ơiii,greet
Hic ok sh. Thanks sh nhé,thank
Ừ t cám ơn,thank
Vâng 👍🏻,agree
bo cau trượt xích du va bong ro lien hoan do shop,query_knowledge_base
M lấy 1 thanh này,query_knowledge_base
Ko phải kệ đẩy,disagree
Cảm ơn shop nhìu ah,thank
ừ ok b.thế để tí m ck nha,agree
Alo ban ơi,greet
Cảm ơn ạ .,thank
Ko phải đàn đâu,disagree
Vâng oki c ạ,agree
Ko phải chật nôi,disagree
T cảm ơn b,thank
Đúng rồi sh ơi,agree
"À, k phải loại này ạ",disagree
Mình nhận đc rồi shop ah. Cám ơn shop nhé,thank
Bạn  ơi,greet
ALo chị ơi,greet
tròn bạn ơi,greet
Alo em ơi ???,greet
Hjx vâng ạ 😢,agree
Tứ là xao bạn tặng yếm bát thìa + thêm Balô phải k vâyk,query_knowledge_base
Cảm ơn shop jhes,thank
Vâng c xem hộ e với,agree
Uh đúng rồi e,agree
Alo mìn ra,greet
Chứ ko phải thảm vải như c mua nhé,disagree
Ok thanks shop nhe,thank
mình cảm ơn bạn,thank
Chứ k phải hồng nhé,disagree
Ben shop co ban phao cổ rieng k ạ?,query_knowledge_base
K phải bình nay,disagree
ko phải địu ngồi ạ,disagree
La ng hay chatbot the?,ask_is_bot
Mà k phải,disagree
alo ad,greet
Alo chủ shop,greet
ch cho e link e tải nha ch,query_knowledge_base
Alo all,greet
shop oi bot hay nhan vien vay ah,ask_is_bot
K phải ở thành phố hcm,disagree
Bảo hành tại shop hay cty vovo vậy shop?,query_knowledge_base
Đúng rôi bạn,agree
mik tưởng sản xuất tại malai ak,query_knowledge_base
Ko phai xe yoyo,disagree
Thanks shop tư vấn nhiệt tình,thank
xuất xứ ấy,query_knowledge_base
hi hi,greet
"Dạ vâng thôi chấp nhận vậy, huhu",agree
Alooop,greet
Ko phải cháy,disagree
Uh dung roi b,agree
hi shiop,greet
Alo chị?,greet
Shop oiiii,greet
Hi shop oi,greet
Ok nhé. E cảm ơn nha,thank
Thế còn cái quây bóng ạ,query_knowledge_base
Shop uiiii,greet
K phai loại hộp này ạ,disagree
ko phải Ninh Thuận nnghen,disagree
cua nuoc nao sx ban,query_knowledge_base
Vâng. Okie b. Để m qua xem hàng sẵn,agree
Hix mẫu đó mình ko thích lắm,disagree
Còn xe màu hồng chứ ạ,query_knowledge_base
e lại k thích màu xanh này,disagree
Ok mih cam on b,thank
baor hanhf ntn b,query_knowledge_base
ok  cảm ơn shop nhé,thank
Chất liệu bằng j có nặng lắm k bạn,query_knowledge_base
Cái này còn ko b ? Bn b ơi,query_knowledge_base
Cái màu trắng đục đục nhìn t ko thích lắm,disagree
Bot hay nhan vien?,ask_is_bot
mình k thích màu hồng,disagree
co bao hanh ko ban,query_knowledge_base
Alooo bạn ơi,greet
à gh  này nặng bnh kg bạn,query_knowledge_base
Alo shop ơi??,greet
Vâng sj,agree
Co phai bot ko,ask_is_bot
Vâng e có đọc rồi,agree
Chị ơi???,greet
cho e hỏi chút  bên shop còn xe tập đi của tomorrow hay newyork baby k ạ,query_knowledge_base
Vâng mình cảm ơn.v để lần sau ủng hộ shop,thank
Sh ơi chatbot hay nhân viên vậy,ask_is_bot
Okie bạn. Mình cảm ơn!,thank
Người hay bot vậy shop?,ask_is_bot
Ko phải set này b ạ,disagree
Xe này ko phải bạn ơi,disagree
Câu ới cái này bao xiền,query_knowledge_base
Hix thui rùi. Cám ơn shop nhiều nhé,thank
Thanks bạn nhiều. Có gì mình báo lại bạn ha,thank
À cám ơn bạn,thank
Cám ơn b ạ !!,thank
b ơiiii,greet
Có mùng luôn k,query_knowledge_base
Bể bơi doctor dolphin giá bao nhiêu ạ,query_knowledge_base
hàng xuất xứ đâu b?,query_knowledge_base
Dùng đến mấy tuổi nhỉ,query_knowledge_base
Hihi. Vâng ạ. E ghé shop luôn bh đây ạ.,agree
Mình cảm ơn b n lắm,thank
Còn k shop?mình 1 bộ màu hồng,query_knowledge_base
shop ơi bot à?,ask_is_bot
Chị úi,greet
day k phải loại mình hỏi,disagree
Vâng. Thế để e nhắn,agree
cám ơn cậu nhen,thank
Cho tớ 1 cái mẫu này nhé,query_knowledge_base
cái này xuất xứ đâu vậy shop,query_knowledge_base
Giá ở đâu ah,query_knowledge_base
bạn ơi mình muốn mua cả set có cả xích đu  cầu trượt này bạn còn ko ah,query_knowledge_base
Vâng tiếc quá ak.,agree
K phải mình ham rẻ mà mua,disagree
Minh ko thich nau lam,disagree
vâng e cám ơn để e xem nhá,thank
Đúng rồi nha shop,agree
M hỏi thảm chữ nhật b ơi,query_knowledge_base
dạ vâng ạ\e cảm ơn  ạ,thank
Tay cầm đẩy bằng da hay vải vậy shop,query_knowledge_base
Alo,greet
thảm monkey sa n xuâ t tư  đâu,query_knowledge_base
cây bằng nhựa hay sắt b,query_knowledge_base
Okie shop vậy mình cảm ơn nha,thank
Không phải bạn ui,disagree
Vâng e lấy pin medela nha c,agree
Dạ vâng e cũng thấy khá ưng với sp này,agree
Ah c oi,greet
Ukie tớ cảm ơn nhiều nhé,thank
Nhưng chất thì k thicha laqms,disagree
shop ơi .......................,greet
Người hay máy vậy shop?,ask_is_bot
Mẫu này m lại k thichd/(,disagree
Hời ơi,greet
k phải giá ý ạ,disagree
K phai cai nay cau oi,disagree
la bot hay nguoi the?,ask_is_bot
alô shop oi,greet
Dạ lắp chiều đúng rồi ạ,agree
Alooooi,greet
Chị ơi phao bơi sale còn bn vậy chị,query_knowledge_base
ghê  ô tô dùng cho bé may thang dc shop oi,query_knowledge_base
Còn kích thướt lớn hơn ko Shop?,query_knowledge_base
Ok b t cam on,thank
À k phai Q Thanh Xuan,disagree
Shop ơi cho mình giá bộ này,query_knowledge_base
Dạ vâng. Em cám ơn shop ạ,thank
Chứ ko phai máy hâm sữa,disagree
Vâng chị chốt tiền giúp e nhé,agree
à shop ui,greet
Chứ ko phải gấp nha,disagree
Alo đâu rồi?,greet
Alo!! Shop ơi!!,greet
Dạ vâng đúng e ạ,agree
"đúng rồi, vì ship đến chỗ làm. 4h mình nghỉ rồi",agree
vâng ok ah,agree
Dạ e cảm ơn! Có gì cuối tuần e đặt qua shoppe,thank
Hi chị ơi,greet
"vâng, để m báo ck m",agree
Ghế này hơn 1 tháng tuổi ngồi đc ko s ?,query_knowledge_base
Ko phải tạo đọ ẩm,disagree
Cảm ơn. Có gì liên hệ trực tiếp qua mình nhé.,thank
Alo shoo ô,greet
shop dùng chatbot ạ?,ask_is_bot
Cảm ơn b nhé. Xe đẹp lắm,thank
shop dùng bot ạ?,ask_is_bot
Thế ạ bạn. Ok mình cảm ơn nhé,thank
Hiện tại shop có mẫu cầu trượt nào gửi mình ảnh với,query_knowledge_base
K phai hồng,disagree
thanks shop nhá,thank
Hàng chất liệu gì shop,query_knowledge_base
Hi c oi,greet
Chứ k phải màn chụp ah,disagree
mình không thích cái đó,disagree
Với khi mua dc tặng thêm ty để bé bú k ạ,query_knowledge_base
Còn gía 2750 ko ạ ?,query_knowledge_base
Alooo cậu ơi,greet
ah vâng ah,agree
aloooo?,greet
ừa e,agree
Thanks ban de nghi ki lai hihi,thank
Rất đẹp thank,thank
Hi shopp,greet
Mình cám ơn nhiều,thank
alo bạn ơi\,greet
bên mình còn xe tập đi nào nhỏ gọn cho bé k ạ,query_knowledge_base
Alo shoo,greet
"Ok thanks bạn, có gì mình liên hệ lại!",thank
Cam on shop nhieu nhe,thank
Alooooooo,greet
báo mình giá cái số 3,query_knowledge_base
DUNG ROI S OI,agree
Các e ui,greet
K phải cái màu xanh lá cây đâu ạ,disagree
Alooo shop ơiii,greet
Ko dc em,disagree
ALo b ơi,greet
uhm minh cam on,thank
Ah e ơi,greet
Xe này nhieu vậy c,query_knowledge_base
Alo cậu ơi,greet
alo ban,greet
ko phải quây này,disagree
Hi xx,greet
Vâng thế ạ,agree
Ko phải khoan í,disagree
Alo.,greet
shop oi nvien hay chatbot vay,ask_is_bot
Alo b?,greet
chị chứ ko phải anh,disagree
Bên mình còn xe đẩy mamago c6 k a,query_knowledge_base
"Thanks b nha, đặt hàng m sẽ báo lại nhé",thank
Thế tải trọng của nôi là bn kg ạ,query_knowledge_base
Ko phai xe nay,disagree
Vâng mình ở tq,agree
"M cảm ơn nhé, làm phiền bn quá",thank
bam oi,greet
bn ơi,greet
Alo c,greet
Mình ko thích màu này,disagree
Vâng thế thì tốt ạ,agree
Cảm ơn c ah,thank
Ah. Vậy hả. Để mình cân đối nha. Thanks shop nhiều.,thank
chứ k phải địu bạn ạ,disagree
Dạ cám ơn c,thank
Alo c ah,greet
Dạ em cảm on shop,thank
b oi shop minh có xe tap di k,query_knowledge_base
của nước nào sx ạ,query_knowledge_base
- 1 thanh chắn - cửa 80,query_knowledge_base
Ko phải màu này dâu,disagree
Dạ cảm ơn shop ạ.. có gì mình mua thì mình sẽ liên hệ với shop,thank
Alo b ơiiii,greet
Thanks shop ☺️,thank
Bn ah ah shop,query_knowledge_base
Ôi vâng ạ,agree
b ơi.,greet
Ok shop đúng rồi ạ,agree
cảm on shop nha,thank
đứng rồi,agree
Dạ vâng đc ạ,agree
Thanks shop. Để mih nghiên cứu xog có gì nhờ shop tư vấn thêm sau nha,thank
Vâng xanh nhé,agree
Vì con trai nên mình ko thích màu be lắm,disagree
thanh chắn giường này nước nào sản xuất shop nhỉ?,query_knowledge_base
Um dung roi shop,agree
Hi em,greet
Da dung roi a,agree
shop ơi chatbot a,ask_is_bot
Ko phải thanh chắn cửa,disagree
Ủa b oie,greet
ko phải quây toyhouse T_T,disagree
Hi !!!!!!,greet
Ah c ơii,greet
Em k thích car,disagree
Chứ ko phải lỏng đâu,disagree
Hìn tròn mình k thích lắm,disagree
okie cảm ơn b,thank
Ko phải c,disagree
shoppp ơiii,greet
m đã nhận r nhé cám ơn shop,thank
Ko có ưu đãi j ạ,query_knowledge_base
"Vâng,rất mới mà c",agree
Đúng rồi mình vẫn phải làm thế,agree
Vâng. Theo địa chỉ cũ ạ,agree
"Hi, bạn ơi",greet
Máy ko phải loại rút gọn ý chị,disagree
Mình k dùng fb nênnếu đc nhờ bạn gửi ảnh cho mình xem với,query_knowledge_base
Okay cảm ơn bạn nhé :),thank
Ko phai minh lo,disagree
Xe này mà đi máy bay gập vào có bị to lắm ko ak? Xe này là bn kg?,query_knowledge_base
Máy hay ng vậy shop?,ask_is_bot
Nhân viên hay bot?,ask_is_bot
Alo alooo,greet
Ok shop e cảm ơn ạ,thank
Alo bạn ơiii,greet
C lấy thanh chan giường hình voi xanh nhé,query_knowledge_base
Vậy thôi thanks b,thank
ALO SHOP,greet
Okie thank bạn na,thank
"ok thanks, để mình xem",thank
Ko phải nôi rung,disagree
th  thảm có giá giảm k ạ,query_knowledge_base
Aloooo?,greet
"đúng rồi,",agree
cái này có bảo hành ko,query_knowledge_base
"Thank shop nhé, để tớ xem thêm shop nhé 😊",thank
Ùa thank,thank
Ah Uhm,agree
Ko phải túi 295 đâu,disagree
hnay mới hỏi đc bạn kia màu,query_knowledge_base
alo],greet
Vậy ạ. Cảm ơn shop để em xem các mẫu khác vậy.,thank
Dạ vâng vậy e lấy,agree
giường thấp nhất bn cm bạn ơi,query_knowledge_base
Dạ cảm ơn shop ak,thank
Ok ạ.mình cám ơn.,thank
K phải bạn,disagree
Vâng bé gaia,agree
không phải shop ơi,disagree
Dạ đúng rồi ak,agree
Dạ vâng c. Em cảm ơn c nhé,thank
Ok shop để mình hỏi ý ox rồi mình đặt nhé . Cám ơn shop nhiều ạ,thank
ALO bạn,greet
Cảm on Ad,thank
Ohhh cam on b,thank
Ko phải be đỏ,disagree
Uh dung roi,agree
Chi oi!,greet
"Oke bạn, chiều mình qua mua hàng, nhà mình cũng ngay gần đó. Cảm ơn bạn nhé",thank
hàng nước nào sx za?,query_knowledge_base
"Cảm ơn shop, mình bàn với chồng rồi báo shop nhé",thank
Đúng rồi địa chỉ của mình,agree
Da k phai,disagree
"Alo, shop oi",greet
Vâng tks shop có j mình pm lại ạ,agree
Vâng e gọi lại rồi,agree
Ok cảm ơn b!,thank
vậy cho mình màu xám nhé  mà bảo hành bao lâu th,query_knowledge_base
Mình k thích loại đó,disagree
K phải giá úp bình sữa đâu,disagree
alo sh ơi,greet
Cám ơn bác!,thank
trai chị ơi,greet
"vâng vì thứ 7, cn mình không có ở đó",agree
Vâng mình mún mua mà xa quá,agree
Cám ơn shop tư vấn ạ,thank
chatbot tự động à?,ask_is_bot
Vâng để e tham khảo thêm ạ,agree
Còn set này ko cậu ơi,query_knowledge_base
Hí b,greet
E muốn đặt size M ạ,query_knowledge_base
Ban oii,greet
Vâng oke bạn,agree
bn xe này hả b,query_knowledge_base
alo bạn woi,greet
m cảm ơn nhe,thank
Lớp thảm bằng chất liệu gì vậy ạ? Nằm có sợ nóng không ạ?,query_knowledge_base
Mình ko thích màu ghi,disagree
Minh cam ơn nhiều ạ,thank
vâng shop à,agree
T lại ko thích đỏ,disagree
Vâng. Xa quá. Thui tẹo mk ck ạ.,agree
cái này t lại ko thích cái bàn đen,disagree
minh dang chat voi nguoi hay chatbot the?,ask_is_bot
Alo người ơi,greet
Vâng ạ ok shop,agree
Vâng thế cũng đc au,agree
Cám ơn shop. Có gì mình liên hệ lại ah,thank
Đúng rôit,agree
co phai nguoi khong,ask_is_bot
ôi cám ơn bạn lắm hihi,thank
Dung roi do,agree
Bảo hành tại shop ah b,query_knowledge_base
Ah mình cảm ơn,thank
Vâng m cảm ơn b nha,thank
Mjnk ko thichs mau hồng,disagree
mà b ơi,greet
Ok.mk hiểu rồi.cám ơn sh,thank
ừa mình đang thích kiểu đó đấy,agree
"Ko phải bên tổ 9 kiến hưng, hôm đó c đặt đồ về nhà bà ngoại thôi",disagree
hi Shop,greet
E thấy bên mình có mấy loại pump ạ,query_knowledge_base
Cảm ơn b nhé để mình nghiên cứu,thank
Vâng nha e nhỏ c ạ,agree
hi hì,greet
E có xem qua nhưng hình như ko thích lắm ạ,disagree
"Mình cảm ơn nhé. Đang lên list mua đồ dần cho bé, nên khi nào tiện sẽ ghé qua shop :)",thank
phao đó sale con bnhiu nhi,query_knowledge_base
chứ k phải bếp,disagree
Alô S6,greet
Vâng ạ. Thế mai e qua ạ,agree
Vâng ạ😍,agree
Uh v thôi t cám ơn nhé,thank
Nó ko phải là silicon,disagree
bạn oiq,greet
xuất xứ của nước nào ạ?,query_knowledge_base
B ơi..,greet
chatbot ha?,ask_is_bot
Tự động trả lời à,ask_is_bot
alo sh,greet
Còn bể boi ko phải bạn ạ,disagree
Dạ vâng bạn,agree
Shop ơi mình muốn đặt cái nôi này trên shope,query_knowledge_base
😔 uh,agree
Dạ shop ơi xin lỗi shop cho mình hỏi mẫu này 1m3x1m8 còn ko ạ,query_knowledge_base
hàng của ai sản xuất vậy shop,query_knowledge_base
vâng hic shop đổi giúp e nhé,agree
Vâng thế thôi c,agree
Hì ukie bạn,greet
Tím chứ k phải xanh như ảnh ạ,disagree
"cảm ơn bạn nhé, có gì mình liên hệ bạn sau",thank
Uh đúng rồi :)),agree
alo ạh,greet
Nhưg ko phải cái này ạ,disagree
Hi 🙂,greet
Alo B ơi,greet
Có còn ct tặng ghế newber nhữa k ạ,query_knowledge_base
Ko phai 3890 nhe,disagree
Ok. Cam on shop nhieu,thank
alooooo,greet
Mình mua loại 1000ml ko phải loại 800,disagree
nôi này nhập nước nào vậy shop,query_knowledge_base
dạ đúng rồi chị,agree
alo alo,greet
Vâng. Đợi hàng c là yên tâm lắm,agree
cho mih hoi gia  nôi be  nha,query_knowledge_base
Cái chắn cửa phòng chứ k phải cầu thang,disagree
Chứ ko phải máy em ah,disagree
Địu giá bn bạn,query_knowledge_base
"Da, minh cam on",thank
Thanks shop :),thank
"Dạ vâng ạ
Hic chờ mỏi mòn c ạ",agree
Nhan vien hay bot?,ask_is_bot
Vâng em nhận đc rồi,agree
Cảm ơn b trước nhé,thank
Cũng ko phải shop ạ,disagree
Dạ. Em cảm ơn s ạ,thank
bên bạn có thảm 1m8   2m k bạn,query_knowledge_base
C ưu ui,greet
Vâng coi như e lấy hộ,agree
Bạn ơi !,greet
Vâng. C lấy cho e mẫu e đánh dấu ạ,agree
Oh vâng,agree
M lại ko thich ghê này lắm,disagree
Vâng chị !,agree
thanh chắn giường có những kích thước naog,query_knowledge_base
Shop oi auto reply ha?,ask_is_bot
Huhu cam on ban,thank
"Ok, thank shop",thank
hi chi,greet
Uh uh cậu ạ,agree
da. e cam on shop ạ,thank
của hãng nào ấy ợ,query_knowledge_base
Ui chị ko thích cái màu xanh :(,disagree
Gửi dùm mình hình túi không có bình nha shop,query_knowledge_base
Aloo ạh,greet
alo chị,greet
K phải màu cam đâu c,disagree
Thấp qá bé ko thích,disagree
Vâng em nhần.,agree
K phải 25p,disagree
😞 cám ơn sh,thank
Ghế này là ghế vải đúng ko shop,query_knowledge_base
Vâng b nha,agree
ko phải shop oi,disagree
Ga có màu ko b?,query_knowledge_base
"À cám ơn shop, mình quyết định mua sẽ liên hệ lại nha",thank
Màu này c ko thích,disagree
hi add,greet
La chatbot hay nguoi the,ask_is_bot
Thảm này nặng bao nhiu,query_knowledge_base
Dạ vâng ạ! Mong sớm nhận hàng ạ! ❤️,agree
"Đúng rồi bạn ơi, lại ship cho mình đến đó nha",agree
bạn yêu ơi,greet
đúng rồi,agree
À thôi ạ nhà e lắp đc r e cảm ơn ạ,thank
Vâng thế cũng dc ạ,agree
Có màu gì ạ,query_knowledge_base
ben chi co treo noi co nhac ko ạ,query_knowledge_base
Okie thanks em,thank
Cho e link shoppee thảm này vs ạ,query_knowledge_base
Alo c ơii,greet
Ko phải loại để nấu cháo,disagree
Vâng vậy cũng đc,agree
Chứ t ko thích kiểu kia,disagree
thank b ne,thank
La ng hay bot the?,ask_is_bot
Hi dhop,greet
Shop còn túi hâm sữa baby moov ko ạ?,query_knowledge_base
